id,text
38,tsing lang thian han tsing li an n kong long kuan kin tan thau khuan suan tinh tsit e khuan tak ke sim lai long am m hon tsit sian gua kho a suan e tsiahn tshiu pihgng u ian kiam tsit puan khi ah
39,ktau a ng ki
40,in ui bo tshu li ham ho sin e bun te so i e ing iong tioh si giam kiat ko e phin tsi
41,tsit e ki khi lahng e thi tsi s si iong DshithiS a sit tha kho thn thu tso
42,ai siong sin ka ti it ting pha e tioh lanm ping iu
43,u ki hue e ti lak kue te i tsing ta sing hiap i
44,gua kong bua e to bua e la
45,tuan si pai pak hia ni hok tsap li tshu tshu kio a khah se li leh
46,an ne tso kam o khehe
47,tsan sing tsia o lo i kian bu sit lo suan m koh kiong ho tong ti kok hue ka te tse
48,si tsakp si phin sin hon lanm ji bo beh tau sen a tsi it ma ma e kam tong
49,kak hue a liu u ian ksiok sui e lioh bun long tsioh hin sinan ksiok kah i li lio un tong san khui tshui ka o lo
50,gua tsit ma ktiam tit le a tsiun peh tshu ui ing tsiah lai tsen lah
51,tso i kua be kah li ke ka
52,kian pi kok iI lrang kian ua sau udi kho ka ti bi ko tsue kin ka i lang kai sen kuan he i king in hi
53,kta gua tse ong tse tsiah khui
54,ksuan ting long tauh bu peh bong g sian mih long khuanh bo
55,o tsiu kok hue baet ti ji khong it ji ni iau kat tong sing hun hak huat hua e i e tsain jing phai su kah thn kho
56,gua ei sim
57,tshin tshiun tin kue apt po png ting ni tsue tsiahmi long au iong tsu bi lai tso
58,heh he
59,he piehan tong tshia honh tsau bei tin tang in kai si bo tian na ai kah bak ki li theh tshut lai tshiong ean tsit 
60,hit tui ang a bo o e si tsing hai e pu lu su thiau kat tsian ho khuan
61,at bank a ti tsa tsing si sian mih khuan lang leh tsiah 
62,tsianhn ping khui mg lo tshia tsin tsing tshian tsu i tshia sian kah gue tai iong ge thang m thang lag lue phang li
63,li sing kian tsut khit ta kheiht ting a
64,han kai tshu huan e tsuan ki i than hong te tsong ho sat pun guan king
65,tsit ma a si kang khuan ah
66,ki tshit tshi tshng tshng teh hau li kam long bo thian e
67,guan ko gua kuaeh ah thau ke niu si tai pah ai i tsa lang tsin hou
68,kioha thai e u kho ling tsiahp bean tsin a
69,a tsi lang kheh kheh khi khi
70,lai tshiun kua
71,kuan h ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
72,lai kai ljit tso tsi ah si tse tshai to hing
73,tso tsit kua sin the bo tian e ka i e tai tsi pho pho than thn tsiong i tsing gik thai sin the gia
74,i tsiong lau ka lang kau pue
75,ho i au na si huat sio tshiau kuan ng kan ti ai sui lai kiam tsao
76, tsia u lang kha tian ue lai kuk sian mih tsit ko gue ti tiam lai lu tsae si Bi lu tsiau kue tsit tshing kho to sang ho khahng
77,ho lin ih beh ka pui ui khi la
78,ia kam tsioh iu huat tian kin opEi kte ui put lo
79,kgun ting io liam bi tao beh lai ah tsiam ma hua li thi guat io be tsit kua mih kian tshian ang tsiah
80,pioh it ta m i kah si a thau tsing san tsap tsit pah go pah tsit tshing san tshing go tshing e kiong tong su tso e so liong lit tsut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e shu tso ti m i kah aRn ng e thong k pioh long u tshu hian
81,hen siu lang beh sue sim
82,thau lo si tan e kak kha
83,khian 
84,ling siong si khang khue tso kah puan me tsiah png kuain sin la phuh tian nu
85,to tsit khuan sia thau tsui siong thian jian lai be ng kuan tng khi tshi khuan mai
86,hun be put tshin gun tsa bo kian na u ban it khuant le beh ion sian mih lai pue gua
87,li kian lo naie kuai kuai kam si khi uai ti
88,a bat sang li ho li beh ai e mih kian ti tsia
89,khian tshiun han lo po hun ea ong lai a kue tsu pun ing kai si tsit e su
90,a an ti a huait ke kai khiam
91,lain kin ai tsiah png la
92,li iong i e kua si an kah hian a gi miau e suan lut ka ping an am hing hok thuan kat tshut khi
93,iau m koh tai uan tian ian si gua e sen mia bo lun an tsuan gua ing uan long be hong khi
94,siong gue hit phin suh hi e thau tsing tsit puanan si ji khong khong pan ni siae tu tu si t tng tshut pan hit tsit tang
95,hi tsa hi si a pin ta khi laei khi hue
96,pheh i tsin kuai le tuie lang tsau ah
97,na tshuan khui e iun tong lian si hi ki
98,thu la e khang khue tak tap ti tih tat hang long ai guat tso na tso e lia
99,lhi he lo ka su kah u kuan u ka su bi tsau tshut lai
100,hua lai khit tiean ian
101,bo lun lu ho li gua i king tsit tui ho tsing phouan
102,la gua ko tsan pi iap be ing gi tsua gia thangang ni
103,hi khi a e mi kian kai ho tau behn gua ku to tau e ho
104,na bihan siong pan to u tsin gua tsui si thau l lo
105,eh
106,mng kian kuan ho ho o
107,sihC tso tai gi bun bun ku eun thia phak sen li iong gi huat tshiu phak sin khi kai tsin gi su tah phue e tsing khak lu
108,tsui pha be khi lei kho ling ai ta tsit tai phang hu la phanhn
109,sit kuan
110,than tshian
111,tah bong si tshiu n siong sui e si tsun bong tsiong it tshe kho tso tsit hue bo gua bo li
112,i kah te san liap in a ma tsih tsiah loh khi na tsiah ko nao lo kong uah ah gua tsu tshut si kau tan m la tsiah kue tsih ha ni phang e in a leh
113,ling gua king ki ing bun e ki liau kho tso tsh lai gi su tah phue kai su in it thtsi si tai bing su lat tshkuan su oh loh in ui pin lt tsin kuan tsia e gi su e gi su tah pue o loh lat Tloh t ti in o ma long pai ti tsian thau tsing
114,i kai piak kian siau tai i sing kau ki kin kong kong kui lo ihk e po ianm kim ho pian liau liau
115,i si tsit e tsin la sin e sian sin lang
116,lo si li tsi tua kho tai tsiah e kak gua se tsit e khong kian
117,lia tai ka ti e tsu tin tshu bi a si kong tshi kua tshiu khue
118,beh pah khong tlak phin ia gam tsioh iu huat tian kin u Pi k te ui put po
119,tsit ei o
120,i ui tio khi ang le king leh kong hng bo tshuan ka sih bping kui si tho tsit tshut ai uan lan shi beh tua ki pkhin tean ian
121,ah li beh ua tho lui si li long i gua e neh
122,thau ke ah m thang na
123,ksio tse lang leh ioh a lak a e ti sian mih si tsun to tkan
124,bo lun tiean si iah tean tai tak ke sian sian ku ku kamg sia ui tai e bu tshin tak ke long su iau
125,hau tingn sian mih tai tsi
126,gua hiong i suat bing hit tian tai tsi
127,kit tsun ho lan the lai lia siu khi e tsiahu a
128,kam ka khi lai na e u tam oh a i tshilu guan lai khuai laok e gu ini m si tso sian mih tai tsi
129,ke lang bioh khau e thian pu la siong u mia
130,tsu tsiah kong ng lai u tsian tseie lang ti hia sng phok khiam mong
131,ti bi ko pu tin mor tsing tso po tong tng iam e si tsing tshu bin tsu tong theh mia tsham san tsong thong e
132,na si tsau kang o e kua le to si thong ko na si khi tsia kua le to si phian ko tse si kang khuan bo kang sai hu tsuat tui m thang hut m tio
133,gua ka ti lai to sai ah
134,un li guang kua khin iong in khuan pina to u tsit king san tsap ni kiun bo a lau
135,tsan ksap khue iau to tso sean na sio m bian tsiah png a hio
136,tkhang ki a lai king t tsit e suan hang siong tha to
137,kat lin pe tiam li kong
138,iu ngi an tai han ki suat hag n tsu sin kang ting hi tso li kau siu
139,u a li khuan li sio sui tsiok ko tsui e iun tsong nehn la be ti tsit su lh tsau in na ki tui ph li tu lai ti
140,tsean si it tsit kui kang biam bi hua kuan lian li hua lua kah meh si tioh ma la li ah
141,ui tsit e kak to khuan tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kian kgi
142,la sit pai kui beh kue bong
143,i tshia gua bon lng pai to huan hue a
144,hue na e bo kuan an
145,pheh khi li khuan mai
146,iau kiu khahk e sia hue tsing tshi
147,gak kong li tsit e ko mng kau ah guin toa e lih kaili kong ue li tsit ma si sian thai to a
148,a pah mai phah o pai m kan
149,in e put buan koh ka lai tshu san tsiah e tsng kha e pu buan hue a tui sia hue un ting tso sing thiau tsa
150,sin tikt tshi tsit ui go hue tsap po kin na in ui ui tng ia iak tshut ua tng phah khang king kue kin ktit be tshiu sut tsiah kue lbin
151,li tshiu ng lik khi lai sun suan ka li pong hui a
152,ho
153,i e phue hu peh n pih pih
154,ti kitkt lun tsok tsia kong oEbama i iu tiam si i tsu tiong su iong king tse ta gua kau e lin liong
155,li khuan ni tsu uo tsiah tau khin ki tsit ma tsing hui tsia bak tain tsi gua tui tan ka u kau tai ah la
156,a lin peh a ma ho ah lah blian tsa bo kian gui tsin a tsang ting pua loh la
157,bo khuan e khaie kue sim
158,a tsit niain iun tsong ts sui e
159,li thaun mng tshui tshiu pe lau khok kho a ia koh sin be ka ang tshua sui gbo
160,lan tsit tsun khi lok kang aing tiam puan tsing
161,ha pia na bo lo ui ue ka thian tiau leh tho tih iau khu e tsiu giah ok bu tiong sim kam ka an ne lun bu
162,a
163,gun kian tshing a tsh as loh e kam me sai ho gun tshi tshing
164,tsai tiun e hai min a aog si hua e thai ko na lo sen thau hua bue hue kha phua siun uai ko tsi sha khuan tio uah be khi kih bo hue
165,gua e sing khuan la
166,in ui hue kam tian tian su iau hua lia ti liau kue thieng ho i thian tiuh ti
167,tsue put tsu lah gua m tsai to lo teih sit tioh li honh so hue a tsian se ji am ni ka
168,thau tsing kong ui tioh pi sia leh sia hing uan a sin nua tha n lan to m si to leh koh ah si u ian hia iau i hiah e tsiong kin
169,pun tsin si kan tan e pi tsho ka suan iong
170,sin beh ka ti khuan pi a ta i sin khi be tsit tso khah hon e Gsit phi iu siat pi
171,gua e ka a kong tshuait lai khi tshaei tshi a
172,m ha ah a
173,si tsi e sm kha kam e tang tsha ti san tsi e tshiu ki a lai bin
174,hit hang tsha lai te u tsham li bong tioh li bong bi tsin kau tsin phang
175,a tsui peh a sang ho ga san tsap pau thng a
176,siang khit tau thih tsit ki Pian tsi lain ait ting ai gia ho khui 
177,lai tse lai tse
178,gua a put lah e ing tsit tsu
179,ho la in a i king tsiah liau ah kin a jit to kau tsia ui tsi loh han tsing li an ne ka tak kiek kong
180,lai khui mng leh
181,thing ki si kan kau ah tak ke ki hi hau ki sik tsun pi tiang ki tsin tsing ai sing tshuan ho ho tsiah ka ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
182,a peh
183,khin i hing eh sng tsho si lian than huen pang hok tsho tsong ie u hi kahng tiong li pho si ua e bahng
184,gue la tsit si a lah
185,sian mih thau lo e pi tsit o khah ho
186,a peh sit gu
187,tsung nue ho gua tsiah
188,tsia bo huan geing li la
189,koh leh khi sing ti ua beh lo si
190,tsih gua tsit kha su li pah phah ka tsua
191,ong thai thai lin sim pu sit tsai tsin ngau tsu ka kui to phang kong ko
192,ho un lah
193,li si tui to ui tit tioh tsit tsia ang a 
194,an ne siu kai u e bo bun tie po huan kho ling u bun ti
195,e ting ai e lah
196,e khi tshit tioh lang e i su
197,a meh a si beh hit tai pak a si beh khit tai lam
198,tain si
199,gua khuan tit ti ia
200,kham koh tua lik e in ahoh tsit liap tsit kak gin ng lin ng kahk gin san liap tsia bian tsin ioh hua bih sian kht in tsit kua kian luo lang e tsu 
201,gua hit tai tshia tsue kin tsiah ka si lia thai ia tsua po uan kue
202,su hong be tang pai thik sin lo a si khi in thau lo e lang kong tai gi
203,iau m koh u lang uin tioh ko jin e li ik lang hon sian beh lai sio tsin
204,tsit siang bue a
205,ho liong bo huat to tsun si si le
206,uah pin a tihk tsun pi tai sing tshiang kui ki tsing lang thian hun bing su u bo in tin
207,mg siat pin e ian guan tso khi lai ma bo kai khuai lok lo pin ne ke iu kui tsi ing sean sin
208,ai io
209,sa kha thai lu it king pit khui ah ai kha tian gue ki sai hu la auan
210,hueh hai kuan tsin tsing u tsui ah si pak khuan tshiau kue tsit pan si si e ik the long ai to tiau u lai tah to a ah si pak e ui kin phin ne tsian tsu tong kan tiau i sai tsa ti sing khu tin
211,li e phue hu bong khi ai iu iu iu be su lai gin na l
212,h tha e sai gua tiau bei tsia tihg nle u lang bo huan h lih tua sian hua
213,ah ha ah ha ahk tiong peh a a tsin ke a
214,ho kha tu jiu ho kutn liu siu tioh se ji liau liaua kinan
215,se ng e kau guan si to tsit e
216,tsiong beh ho se kai koh khah uan bi siun beh hok ka ting koh khah hing hok siun beh ho se mia koh khah tshiong sit so i
217,kiong tsing kho
218,be li siun khih khi lah
219,kong bon lan ku toh e khi kha tang tshiu a
220,li tioh ai khun khun ho pah
221,tshng siun tin ua bo se ji tsiah tioh li e kho
222,lan tsap ni tsing ka jit ta i ti o bi be mih kian khah bo khio su
223,hua tso bu hing tsho tshu khan ting ti tai uan hian tai si te san tsap ji ki
224,tsitk e i ah si hit e
225,thai kuan thong kue liau au tsiah khi hau ki sik sio tan si kan na u khan liong e tang khi seh bian sue ke
226,mui tsit e lang long si tok i be mui tsit e lang long u ka ti e sing a king giam ka ti si
227,gua 
228,kint ai jit e ting hun to honh kam eh sai tshian li theh gua ta tshit kua tong tshong an nlai khi in e ui a ho bo
229,in to si bo ting Ssohi tsia e tak pai long e blau kunm mi kian
230,i koh sia kong tng tso pha i ti tsuan se kai si ki khuan ui kau ting iu ko kong gue u sian
231,i tsai to sang kai u tsun giam ka tsit ma i pu sian kan khua
232,in ui sianm pi to bai sua tsing tioh anmg no tho ho n kiau tshian e tshia thau thahp o tsit e tsin iam tia
233,lai tsia pai ti honh
234,tsiong ko m khig ho li ko e tshit tshit ea kiuh ke tse kian tok sam phout l
235,kio sian mih mia
236,maih an ne bo tai bo tsi tok ka lang phng
237,mai an ne lah
238,eh kau thung hia ni bo hong phn
239,li hak gia khai iau ki
240,ah ka a
241,kau tan guan tsu bin i tang iong ka ti e bu gi sia kong bun khah sit sit tsuan ing tsing gi koh tai hua tsit tua po
242,su tsiah e lang kah i bei tsit te tho tho hi i hiam siun tse thoa to kuan khi hing ho lang
243,tsiok tian nuo e pha tse long si ke kin pun bo sion gua tse
244,sau di tsit tsap kau hue sin ko ong sa ng kin ni tsian gue tsiah ting ki tse ui
245,bo kua sit lae
246,shiu lahi the khit ptiun phue tsua na thak ba sai na hok thti
247,kin lieh kian lea ah hah kua lo khi ah
248,tso san tso si hio khu
249,na mng kon tsuai kin sua oh lai kanm ko e u hong thai siong tsih tsi si go kang si bo khuan e la guan tsiong pin iu ing kai si be huan lo
250,khahk kong ma i
251,a bu gua iam m si san hoe gin a na be hong sim
252,tsan leh ka mo a pat ta li the i tshing ka
253,tui in tshun lai tshiong kik si siang khuan in tiong tan e in sing bih an tsuan
254,kong ue tik tsing king m thang khi hi tshi
255,sun sun le
256,gua khuan be tshut lai gua sia e tsak bun sit to tsit tiam bo ho
257,tho ho ho la a biau kua ie lan to be tsit su ho la mai hau hoanh kuai
258,a li tsag toh kio ua khi be tsit kua liau ga khi huan hu lah
259,tin tsing kui kang gua kau tsing tshi e sia tiun ti liu rho s ko tu ho ma sia gun tsiun ki tshut tsit tsiong ts huat u tsin tsi hong hiam pau kuah bo huat to ing hiong su thai e kiat ko lai o tsing bi kok e li ik sim tsi siong bue ma si tioh the pat lbang tshit kha tsuangn
260,han tsing li tsin tsiok kak siau lian ke huan khuan leh ka kong siau lian lea li tsain ian bo guai in a tsiah san liap bian tsin nah
261,li lai kau ko bio e kah lahi
262,bo ka li phin tule em mi tshai kue po si tsai u kau ho iong e la na tsun kong li u su iau honh en tang ui gua tsia thih kui le a tng khi lu khuan mai
263,thau ke gua nau hsiah san i gua a tshing e lueh
264,hit lai tsiah pong bo
265,gia bi lai hong hion
266,tsit an tsuan in e tang khuan bihn tsin eh gun be iong tsit la
267,tsit ma si guan tsu bin tsokt i ong bahng bi lai khih ka gi tai i long u ki huaea
268,thian mng e ti to tsit ku e kong huat lan tai gi be an ne kong
269,li ka giau koh u ki th e hong huat lai tso tong siu hua
270,haih ang tai gi bun hak gue khan te tsit pah khong ji khi
271,suahn lh lai e lai siau kai hue ling ki e an tsuan sat pi to sing mng ti hue ling ki e ng ing ang so am ti thau khak ting ki sing i ti i a kha
272,gua thai h li so i tsiah tsiahn ni tshong pong
273,o sui a bai ah
274,tse tshih phain bin ting u san e tsiu tsiu sa e sik tsui long bo kang
275,khing tiam
276,tiam tiam tit pin a tso bo su jin
277,tio ai peh bu tsu hun a u jin ke lang kai sia tui hong tsa po a m tsai him a ho lua lan kau
278,tsiong gia so kam hip po ju si tong king ik kia kiu tshut bu ki tsu kai uai si kia sing ptha
279,aih i tok kau ho li tsiau ko honh
280,tsit ho gua koh lin kui pue ah ho bo
281,li kong li
282,m bian bua hia bain
283,oh 
284,sa bak a tu liau kau tshi i gua koh u sian mih kik si
285,li ka sing ua tiong sim khng ti to ui bo tai tsi thang tso e si li kam e khang hi tsit e lang e si
286,tsit uan tho tauh kh khong kah mih nih mih tsian ho loh au
287,ko tiam ji i N V anN su tso
288,tsit uan pang bing li
289,hngh m tsian nia
290,so ni tshiu ki a kam u ho iong
291,e sai tsio tsin aih si be sahi
292,tsit li u thian sim ta a i koh ka in ting se sing khu tsit paih phak ta liau au theh ut tau ka u kah tshiun sin ne kang khuan tsing tsha sik tsui u khah si
293,m thang tsha i
294,li sian mih si tsun beh tng khi tai pak
295,thian kong gin a lang kho u a khah ka tua
296,tng lai ah
297,sin lun ti tshia kai sue tsok tsia so kong lu sing m si tshuit i to tsian tso lu sing si hong kau iok tso lu sing e tsit ku ue i ham tsat hun
298,bian koh pian han kah ni te li tsin to hain gua la
299,tsian mih lang kong liu tshin ma khuane sim
300,eh ah li tsiah ka ga kai mia la ah li pi ki th tsioh a kau la
301,bo jin ho e kuan he
302,en pa lah si gun a kong khah tsa hiong aei khuan e
303,tit e kon tsa si tsun pian tong long e ka tsit lia mu a ka tsit te thak khu ang
304,e a tsian lng a kian ting khi nla
305,lhi na koh kian ji tsan tsap hue a honh guai tsiah phah ho li tsiah
306,a ne bin a tsai kam kang khuan si tsit lia tsit kak gin ng biap ng kahk in san liap tsiah bean tsin leh u lang an ne mn
307,kau tan iau ui tsi tse siau lia lang e tan git tah khi biok tsa bo gin a
308,ki oka AB uan sio i phi of a sing phi ok Bi so i im i ok Bi si hu so
309,tng tang sin the huat tshut tsin sit kong i it king siun pah li suak kong m koh ke ng ko tsin sui
310,tsin niu sin niu sui tang tang kho ti ho ho bo phuan khang sin long pue a phang kuan kuan kian sun tai tai tiong tsiong uan
311,hui tioh siau lo tshi tiun tua lat hui sak kik tuamn le siau hui tsu gi ho lang tsit si a to sui tiau ti bo pit iau e khai siau
312,beh iong ing bun kah lang ko thong e si tsun li iong tsian e gi su tau tshut tsit ku lan lniah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau mng
313,tsih put ko tse ka lean bing lai te ki than tong hai e i kean u sio khan lean
314,mh
315,kit hua tui khong e bok tihk ki sit si po tsing i kah ti tsiahng a kok kah e khuan li
316,u gua khiong po to tshin tshin khlin tsaon si gue ji ka tin niau iok e khalun tina tai ak tsit tiun easak kong
317,lit tsit e lau kau li kam bo hun
318,na si e Bi tian tian sing tui tshut hian m koh i ah piah e tsiah Bi i gua e su bi thau tsing ma kho ling e tsiah a in gua e s
319,i kia ka bin sik pe sut su
320,hiu tong phing sian sin iu tong ing sian sin lin nau bo tng leh tshue li tshian kau te ji kui tai sio tan to sia
321,in ta e tian hue long a e lo it ti e ke tsian kng ei
322,tshiah li ti tokan tsi sian liau au khai si lau ue to sia
323,tsit ti phang lai te khu li mu iau koh sio sio gin na lang un ai tsia 
324,kin lai kue liau an tsuan
325,thi khi tua kuan a tha tsit nia o bahk khah ho
326,ah gua koh lai tsiau ho lang khe lah honh
327,ai ia m silah
328,tong sing hun hap huat hua koh lai khuan o tsiu
329,lai hang lang o lo u hing ui gua hang e kong gua ok khiah khia
330,ng e lang hiah ni ho suah kian kau bueh bo uan kho ai tshin tshiun sa bu phue tsing hun na e tsia ni po
331,tse to tso sing m na si kan ak siun khe ui iong siun kuan kuan li siun khn lan nia nia tsiah tse lang khi kuan
332,long ho se hong m theh khuan tso tsi sin tsing khuan tui gua tsing tshik kha tok lit tsit kik e iau hi
333,lin ng e ti hia si si sut sut si teh kong sianh
334,kiu khuang lih tai hua bun e tsu liau kho ma khai si ti tai uan tiong kok ting so tsai kian li
335,ma ma bo pieh thian li
336,tsiun khuan mai kong khuan mai bi a kah iun ah tsha ti to
337,a la ah phah be kua
338,khiong hiong u tsit e lang kah i i tsing sin i bak tsiu nia kin khua tioh tsit e bin tshiun tsok bai e tsap po lang tsian tua sian ka hua
339,si la gun tsai ia m tioh ah lah
340,gua u khuan tihoh
341,i khin kui puan po long khin bo tha 
342,hi sing jin iau koh u tsin tng e lo lai kian
343,tsap ji pue a siahk phua kam iau kin
344,tit jit pun sa khu la khui e hit tang tsun kui phian ang ki ki ke sui
345,bi kok kah Iran ma u kiong tong li ik pi lu iIran tsi tshi e shia bin ping
346,s lai tsisim u bang tsam e phing lon kan TsianLaeau po i jin ui tsinu si tai i gi
